Esperado,Obtenido,,,,ANN
24996.405,27777.025,750,4,-2780.62,11
25271.546,27373.112,751,4,-2101.566,8
25233.456,28247.166,752,4,-3013.71,12
25074.526,27557.95,753,4,-2483.424,10
25159.384,27720.522,754,4,-2561.138,10
25036.601,27495.977,755,4,-2459.376,10
25372.133,27867.086,756,4,-2494.953,10
25455.281,28189.764,757,4,-2734.483,11
25371.87,28038.004,758,4,-2666.134,11
24901.077,27464.953,759,4,-2563.876,10
25571.43,27965.328,760,4,-2393.898,9
25884.469,28654.879,761,4,-2770.41,11
25451.916,28030.066,762,4,-2578.15,10
25377.858,27904.096,763,4,-2526.238,10
